Time,ExternalID,Role,Location,LinkTitle,LinkType,URL
9/13/20 11:53 PM,9533,User,Belses Gardens,BBC News,Internet,http://www.bbc.co.uk/news
9/13/20 11:46 PM,9533,User,Belses Gardens,BBC News,Internet,http://www.bbc.co.uk/news
9/13/20 11:45 PM,9533,User,Belses Gardens,BBC News,Internet,http://www.bbc.co.uk/news
9/13/20 11:42 PM,9533,User,Belses Gardens,BBC News,Internet,http://www.bbc.co.uk/news
9/13/20 11:41 PM,9533,User,Belses Gardens,BBC News,Internet,http://www.bbc.co.uk/news
9/13/20 11:24 PM,9533,User,Belses Gardens,BBC News,Internet,http://www.bbc.co.uk/news
9/13/20 11:15 PM,8736,User,Raeden Court,Online Radio Box,Internet,https://onlineradiobox.com/uk/
9/13/20 11:15 PM,8736,User,Raeden Court,Radio Stations,Category,NULL
9/13/20 11:15 PM,8736,User,Raeden Court,Entertainment,Category,NULL
9/13/20 11:02 PM,9533,User,Belses Gardens,BBC Football,Internet,https://www.bbc.co.uk/sport/0/football/
9/13/20 11:01 PM,9533,User,Belses Gardens,BBC News,Internet,http://www.bbc.co.uk/news
9/13/20 10:57 PM,9533,User,Belses Gardens,YouTube,Internet,http://www.youtube.com
9/13/20 10:53 PM,9533,User,Belses Gardens,Scottish Football,Internet,https://www.bbc.co.uk/sport/football/scottish
9/13/20 10:52 PM,9533,User,Belses Gardens,BBC News,Internet,http://www.bbc.co.uk/news
9/13/20 10:52 PM,9533,User,Belses Gardens,BBC Formula 1,Internet,http://www.bbc.co.uk/sport/formula1
9/13/20 10:51 PM,9533,User,Belses Gardens,Formula 1,Internet,http://www.formula1.com/
9/13/20 10:50 PM,9533,User,Belses Gardens,Cliff Richard Official Website,Internet,https://www.cliffrichard.org/
9/13/20 10:45 PM,NULL,User,NULL,Google,Internet,https://www.google.co.uk/
9/13/20 10:34 PM,8379,User,Aberdeen C@H,80s Music Playlist,Internet,https://youtu.be/qeMFqkcPYcg
9/13/20 10:34 PM,8379,User,Aberdeen C@H,My Music,Category,NULL
9/13/20 10:34 PM,8379,User,Aberdeen C@H,Entertainment,Category,NULL
9/13/20 10:32 PM,8648,User,Responder Service,Information,Category,NULL
9/13/20 10:31 PM,8379,User,Aberdeen C@H,70s Music Playlist,Internet,https://www.youtube.com/results?search_query=70s
9/13/20 10:31 PM,8379,User,Aberdeen C@H,My Music,Category,NULL
9/13/20 10:31 PM,8379,User,Aberdeen C@H,Entertainment,Category,NULL
9/13/20 10:29 PM,8379,User,Aberdeen C@H,70s Music Playlist,Internet,https://www.youtube.com/results?search_query=70s
9/13/20 10:28 PM,8379,User,Aberdeen C@H,My Music,Category,NULL
9/13/20 10:28 PM,8379,User,Aberdeen C@H,Entertainment,Category,NULL
9/13/20 10:25 PM,8379,User,Aberdeen C@H,70s Music Playlist,Internet,https://www.youtube.com/results?search_query=70s
9/13/20 10:25 PM,8379,User,Aberdeen C@H,My Music,Category,NULL
9/13/20 10:25 PM,8379,User,Aberdeen C@H,Entertainment,Category,NULL
9/13/20 10:14 PM,8379,User,Aberdeen C@H,70s Music Playlist,Internet,https://www.youtube.com/results?search_query=70s
9/13/20 10:14 PM,8379,User,Aberdeen C@H,My Music,Category,NULL
9/13/20 10:14 PM,8379,User,Aberdeen C@H,Entertainment,Category,NULL
9/13/20 10:10 PM,5537,User,St Leonards Court,Google,Internet,https://www.google.co.uk/
9/13/20 9:59 PM,8379,User,Aberdeen C@H,Youtube Music,Internet,https://youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ?gl=GB&hl=en-GB
9/13/20 9:59 PM,8379,User,Aberdeen C@H,My Music,Category,NULL
9/13/20 9:59 PM,8379,User,Aberdeen C@H,Entertainment,Category,NULL
9/13/20 9:44 PM,8379,User,Aberdeen C@H,70s Music Playlist,Internet,https://www.youtube.com/results?search_query=70s
9/13/20 9:44 PM,8379,User,Aberdeen C@H,My Music,Category,NULL
9/13/20 9:44 PM,8379,User,Aberdeen C@H,Entertainment,Category,NULL
